State/Country,Year, Employed ('000) 
Kelantan,2005,438.8
Malaysia,2005,"10,045.4"
Melaka,2005,271.1
Negeri Sembilan,2005,372.8
Pahang,2005,524.7
Perak,2005,801.2
Perlis,2005,74.0
Pulau Pinang,2005,621.5
Sabah,2005,"1,106.8"
Sarawak,2005,910.9
Selangor,2005,"1,985.9"
Terengganu,2005,342.0
W.P Labuan,2005,30.5
W.P. Kuala Lumpur,2005,675.2
W.P.Putrajaya,2005,
Johor,2004,"1,232.6"
Kedah,2004,654.5
Kelantan,2004,436.6
Malaysia,2004,"9,979.5"
Melaka,2004,265.1
Negeri Sembilan,2004,360.3
Pahang,2004,526.2
Perak,2004,791.0
Perlis,2004,73.8
Pulau Pinang,2004,625.0
Sabah,2004,"1,081.7"
Sarawak,2004,918.6
Selangor,2004,"1,973.3"
Terengganu,2004,336.9
W.P Labuan,2004,32.3
W.P. Kuala Lumpur,2004,671.7
W.P.Putrajaya,2004,
Johor,2003,"1,269.1"
Kedah,2003,657.7
Kelantan,2003,475.7
Malaysia,2003,"9,869.7"
Melaka,2003,272.7
Negeri Sembilan,2003,340.0
Pahang,2003,460.0
Perak,2003,734.6
Perlis,2003,76.6
Pulau Pinang,2003,674.4
Sabah,2003,"1,073.1"
Sarawak,2003,909.9
Selangor,2003,"1,834.2"
Terengganu,2003,344.9
W.P Labuan,2003,31.8
W.P. Kuala Lumpur,2003,715.1
W.P.Putrajaya,2003,
Johor,2002,"1,222.3"
Kedah,2002,645.1
Kelantan,2002,422.7
Malaysia,2002,"9,542.6"
Melaka,2002,229.3
Negeri Sembilan,2002,324.8
Pahang,2002,406.9
Perak,2002,788.3
Perlis,2002,57.0
Pulau Pinang,2002,643.1
Sabah,2002,"1,028.8"
Sarawak,2002,917.7
Selangor,2002,"1,749.9"
Terengganu,2002,279.6
W.P Labuan,2002,32.9
W.P. Kuala Lumpur,2002,794.1
W.P.Putrajaya,2002,
Johor,2001,"1,235.9"
Kedah,2001,701.1
Kelantan,2001,434.3
Malaysia,2001,"9,357.0"
Melaka,2001,267.7
Negeri Sembilan,2001,351.3
Pahang,2001,437.8
Perak,2001,730.7
Perlis,2001,82.9
Pulau Pinang,2001,714.9
Sabah,2001,979.1
Sarawak,2001,877.4
Selangor,2001,"1,514.7"
Terengganu,2001,298.6
W.P Labuan,2001,27.2
W.P. Kuala Lumpur,2001,703.7
W.P.Putrajaya,2001,
Johor,2000,"1,195.4"
Kedah,2000,626.5
Kelantan,2000,425.7
Malaysia,2000,"9,269.2"
Melaka,2000,253.5
Negeri Sembilan,2000,347.4
Pahang,2000,446.8
Perak,2000,744.1
Perlis,2000,74.8
Pulau Pinang,2000,669.2
Sabah,2000,933.8
Sarawak,2000,876.3
Selangor,2000,"1,681.5"
Terengganu,2000,306.0
W.P Labuan,2000,25.4
W.P. Kuala Lumpur,2000,662.8
W.P.Putrajaya,2000,
Johor,1999,"1,029.0"
Kedah,1999,678.7
Kelantan,1999,436.8
Malaysia,1999,"8,837.8"
Melaka,1999,243.1
Negeri Sembilan,1999,274.8
Pahang,1999,384.4
Perak,1999,684.5
Perlis,1999,78.5
Pulau Pinang,1999,602.9
Sabah,1999,"1,101.8"
Sarawak,1999,865.0
Selangor,1999,"1,427.2"
Terengganu,1999,300.1
W.P Labuan,1999,41.2
W.P. Kuala Lumpur,1999,689.7
W.P.Putrajaya,1999,
Johor,1998,"1,027.0"
Kedah,1998,567.3
Kelantan,1998,430.7
Malaysia,1998,"8,599.6"
Melaka,1998,242.4
Negeri Sembilan,1998,304.4
Pahang,1998,364.9
Perak,1998,685.0
Perlis,1998,71.0
Pulau Pinang,1998,585.2
Sabah,1998,"1,068.3"
Sarawak,1998,824.3
Selangor,1998,"1,430.4"
Terengganu,1998,293.5
W.P Labuan,1998,37.0
W.P. Kuala Lumpur,1998,668.3
W.P.Putrajaya,1998,
Johor,1997,"1,058.4"
Kedah,1997,601.3
Kelantan,1997,413.7
Malaysia,1997,"8,569.2"
Melaka,1997,257.1
Negeri Sembilan,1997,307.6
Pahang,1997,395.4
Perak,1997,744.2
Perlis,1997,70.1
Pulau Pinang,1997,552.0
Sabah,1997,"1,000.1"
